timestamp,price,agent_portfolio_value,benchmark_buy_hold_value,benchmark_random_value,action,pnl_step,pnl_cumulative
24.0,101.5,100000.0,100000.0,100000,HOLD,0.0,0.0
27.0,97.0,100000.0,99995.5,100000,HOLD,0.0,0.0
35.0,99.0,100000.0,99997.5,100000,HOLD,0.0,0.0
37.0,101.5,99898.5,100000.0,100000,SELL,-101.5,-101.5
39.0,100.5,100100.5,99999.0,100000,BUY,202.0,100.5
41.0,102.0,99898.0,100000.5,100000,SELL,-202.5,-102.0
42.0,101.5,99898.5,100000.0,100000,HOLD,0.5,-101.5
43.0,102.5,99795.0,100001.0,100000,SELL,-103.5,-205.0
46.0,98.5,99901.5,99997.0,100000,BUY,106.5,-98.5
51.0,99.0,99901.0,99997.5,100000,HOLD,-0.5,-99.0
53.0,103.5,99793.0,100002.0,100000,SELL,-108.0,-207.0
64.0,102.5,99795.0,100001.0,100000,HOLD,2.0,-205.0
67.0,104.0,99792.0,100002.5,100000,HOLD,-3.0,-208.0
74.0,99.0,100198.0,99997.5,100000,BUY,406.0,198.0
78.0,102.0,99898.0,100000.5,100000,SELL,-300.0,-102.0
80.0,98.5,100000.0,99997.0,100000,BUY,102.0,0.0
89.0,99.0,100099.0,99997.5,100000,BUY,99.0,99.0
92.0,99.0,100099.0,99997.5,100000,HOLD,0.0,99.0
93.0,99.0,100000.0,99997.5,100000,SELL,-99.0,0.0
95.0,98.0,100000.0,99996.5,100000,HOLD,0.0,0.0
96.0,99.0,100000.0,99997.5,100000,HOLD,0.0,0.0
99.0,97.5,100195.0,99996.0,100000,BUY,195.0,195.0
131.0,100.5,100000.0,99999.0,100000,SELL,-195.0,0.0
132.0,100.5,100000.0,99999.0,100000,HOLD,0.0,0.0
137.0,99.0,100000.0,99997.5,100000,HOLD,0.0,0.0
144.0,99.0,100000.0,99997.5,100000,HOLD,0.0,0.0
150.0,98.5,99901.5,99997.0,100000,SELL,-98.5,-98.5
157.0,96.5,100000.0,99995.0,100000,BUY,98.5,0.0
170.0,96.0,100096.0,99994.5,100000,BUY,96.0,96.0
171.0,98.0,100098.0,99996.5,100000,HOLD,2.0,98.0
173.0,95.5,100000.0,99994.0,100000,SELL,-98.0,0.0
175.0,91.5,100000.0,99990.0,100000,HOLD,0.0,0.0
182.0,99.5,100099.5,99998.0,100000,BUY,99.5,99.5
208.0,99.5,99801.0,99998.0,100000,SELL,-298.5,-199.0
209.0,100.0,99800.0,99998.5,100000,HOLD,-1.0,-200.0
228.0,99.5,99801.0,99998.0,100000,HOLD,1.0,-199.0
229.0,99.5,99801.0,99998.0,100000,HOLD,0.0,-199.0
244.0,98.0,100196.0,99996.5,100000,BUY,395.0,196.0
247.0,93.5,100093.5,99992.0,100000,SELL,-102.5,93.5
261.0,91.5,100183.0,99990.0,100000,BUY,89.5,183.0
265.0,96.0,100192.0,99994.5,100000,HOLD,9.0,192.0
269.0,98.5,100098.5,99997.0,100000,SELL,-93.5,98.5
280.0,97.0,100097.0,99995.5,100000,HOLD,-1.5,97.0
281.0,97.0,100097.0,99995.5,100000,HOLD,0.0,97.0
282.0,95.5,100095.5,99994.0,100000,HOLD,-1.5,95.5
283.0,94.5,100094.5,99993.0,100000,HOLD,-1.0,94.5
309.0,95.0,100000.0,99993.5,100000,SELL,-94.5,0.0
355.0,99.5,99801.0,99998.0,100000,SELL,-199.0,-199.0
358.0,99.5,99801.0,99998.0,100000,HOLD,0.0,-199.0
368.0,99.0,100000.0,99997.5,100000,BUY,199.0,0.0
369.0,99.5,99900.5,99998.0,100000,SELL,-99.5,-99.5
380.0,99.5,99801.0,99998.0,100000,SELL,-99.5,-199.0
390.0,101.5,99898.5,100000.0,100000,BUY,97.5,-101.5
408.0,98.0,99902.0,99996.5,100000,HOLD,3.5,-98.0
410.0,96.5,99903.5,99995.0,100000,HOLD,1.5,-96.5
414.0,98.0,100000.0,99996.5,100000,BUY,96.5,0.0
417.0,96.0,99904.0,99994.5,100000,SELL,-96.0,-96.0
418.0,99.5,99900.5,99998.0,100000,HOLD,-3.5,-99.5
421.0,97.5,100000.0,99996.0,100000,BUY,99.5,0.0
432.0,98.0,99804.0,99996.5,100000,SELL,-196.0,-196.0
433.0,97.0,99806.0,99995.5,100000,HOLD,2.0,-194.0
436.0,94.0,99812.0,99992.5,100000,HOLD,6.0,-188.0
437.0,94.0,99812.0,99992.5,100000,HOLD,0.0,-188.0
439.0,97.0,99806.0,99995.5,100000,HOLD,-6.0,-194.0
442.0,97.5,99805.0,99996.0,100000,HOLD,-1.0,-195.0
445.0,98.0,99804.0,99996.5,100000,HOLD,-1.0,-196.0
446.0,95.5,99904.5,99994.0,100000,BUY,100.5,-95.5
456.0,94.5,100000.0,99993.0,100000,BUY,95.5,0.0
466.0,95.0,100095.0,99993.5,100000,BUY,95.0,95.0
470.0,100.0,100000.0,99998.5,100000,SELL,-95.0,0.0
476.0,98.5,100197.0,99997.0,100000,BUY,197.0,197.0
477.0,97.5,100292.5,99996.0,100000,BUY,95.5,292.5
478.0,99.5,100298.5,99998.0,100000,HOLD,6.0,298.5
496.0,100.0,100100.0,99998.5,100000,SELL,-198.5,100.0
499.0,99.5,100298.5,99998.0,100000,BUY,198.5,298.5
